question,refined_correct_options,refined_incorrect_options
Which entrance would you use if you do not want to use the back entrance?,"['main entryway', 'side entrance', 'visitor check-in']","['restricted zone', 'service access', 'loading dock', 'maintenance route']"
You can share files with someone if you have a connection to a what?,"['file-sharing network', 'digital collaboration platform', 'data transfer service']","['internet café', 'office printer', 'television studio', 'public library']"
"The accelerator was controlled via a hand throttle, and the foot pedals controlled the steering in the small what?","['light aircraft', 'remote vehicle', 'personal drone']","['sports car', 'fishing boat', 'electric scooter', 'cargo ship']"
"Sean was lying about the body, but he was very scared.  He constantly worried about what?","['being discovered', 'potential repercussions', ""losing friends' trust""]","['negative attention', 'disappointing others', 'legal advice', 'conflict resolution']"
"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","['collect payments', 'secure transactions', 'confirm inventory']","['schedule meetings', 'gather feedback', 'issue warnings', 'leave work']"
"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","['active movements', 'physical exertion', 'dynamic tasks']","['sitting quietly', 'doing paperwork', 'watching television', 'casual reading']"
Too many people want exotic snakes. The demand is driving what to carry them?,"['specialty reptile expos', 'local breeders with permits', 'importation businesses for exotic animals']","['general merchandise stores', 'wildlife sanctuaries', 'seasonal markets', 'fitness centers']"
"Joe suffered many consequences from stabbing a stranger to death. Among them, the family of the victim did something to him. What was that?","['initiated civil claim', 'sought punitive damages', 'organized awareness campaign']","['requested public apology', 'pressed charges self-defense', 'held vigil memory', 'sued emotional distress']"
To prevent any glare during the big football game he made sure to clean the dust of his what?,"['television', 'projector', 'camera lens']","['dusty furniture', 'cluttered attic', 'dirty floor', 'unwashed curtains']"
"I have something in my head I want to share, what ways can I do that?","['illustrate concepts', 'engage in dialogue', 'create multimedia presentation']","['write a diary', 'compile a report', 'send a text', 'record voice notes']"
"He wanted a house that was gated off from other places, where should he start looking?","['gated community', 'private estate listings', 'properties with security features']","['public housing options', 'open-access neighborhoods', 'townhouses near parks', 'urban apartment complexes']"
Where in Southern Europe would you find many canals?,"['historical port cities', 'urban water transport', 'agricultural irrigation routes']","['coastal fishing areas', 'northern river towns', 'deserted urban landscapes', 'inland agricultural hubs']"
What would a camper need to do before he or she can start cooking food?,"['select cooking location', 'arrange cooking tools', 'assess fire safety']","['prepare breakfast items', 'set up sleeping gear', 'locate nearby cafes', 'pack hiking snacks']"
What could happen to a paper if you leave it outside even if it does not move?,"['water saturation', 'UV discoloration', 'dirt accumulation']","['remains intact', 'becomes heavier', 'stays original color', 'gains rigidity']"
"Mark's semen was very thick, but after his vasectomy it was also what?","['less viscous', 'easier to expel', 'diluted consistency']","['visibly cloudy', 'sticky texture', 'increased viscosity', 'unaffected consistency']"
What is a great place to lay in the sun?,"['rooftop terrace', 'sunbathing deck', 'garden hammock']","['shaded forest', 'indoor gym', 'cloudy rooftop', 'dark alley']"
Where would you find a seafood restaurant in the east coast of North America?,"['town with fishing docks', 'city with oyster farms', 'harbor town festival']","['city with lakes', 'town famous for barbecue', 'beach town crowd', 'metropolitan area inland']"
The president is the leader of what institution?,"['national governance body', 'executive authority', 'policy-making entity']","['political party', 'federal agency', 'state council', 'business organization']"
Sitting too close while watching TV can cause what sort of pain?,"['eye strain from focus', 'neck discomfort from posture', 'visual fatigue from brightness']","['cognitive fatigue from distraction', 'temporary vision loss from glare', 'muscle soreness from tension', 'increased appetite from inactivity']"
Where is a bald eagle safe?,"['remote nesting area', 'protected coastal habitat', 'designated conservation zone']","['urban park setting', 'agricultural fields', 'busy lakeshore', 'mountain trail']"
"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?","['investing in upgrades', 'subscribing for premium features', 'buying additional content']","['purchasing physical items', 'donating for charity', 'trading in-game items', 'participating in surveys']"
What kind of driving leads to accidents?,"['aggressive lane changes', 'excessive speed relative', 'distracted driving']","['stressful conditions', 'driving under influence', 'cautious driving', 'passenger distractions']"
What is eating too much dinner likely to result in?,"['gastrointestinal discomfort', 'disrupted sleep patterns', 'excessive calorie intake']","['temporary fatigue', 'immediate energy boost', 'increased appetite next day', 'enhanced hydration levels']"
What is a person chatting with friends likely hoping to accomplish?,"['shared experiences', 'emotional resonance', 'social cohesion']","['information gathering', 'light entertainment', 'time passing', 'superficial clarity']"
"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?","['sunny beach', 'heated pavement', 'desert trail']","['amusement park', 'frozen ground', 'indoor garden', 'shaded pathway']"
"A fox was thirsty searching for water during the drought, where was he?","['dry riverbed', 'abandoned farm', 'mountain stream']","['urban park', 'crowded market', 'industrial site', 'busy highway']"
What might be the result of a season of successful skiing?,"['enhanced coordination', 'improved stamina', 'boosted mental resilience']","['temporary fatigue', 'minor injuries', 'increased appetite', 'chapped skin']"
"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?","['proximity', 'distance-triggered', 'motion-activated']","['near', 'closeness', 'surface-level tracker', 'height sensor']"
"The man was eating lunch, but rushed when he looked at his watch, why did he rush?","['preparing for meeting', 'urgent appointment soon', 'catching departing bus']","['eating too slowly', 'unexpected phone call', 'feeling unwell', 'checking lost item']"
"The evacuation became mandatory, so what came on the TV?","['safety briefing', 'emergency updates', 'public alert system']","['sports commentary', 'celebrity gossip', 'routine news', 'entertainment feature']"
The person gave a good hands on what to show how to do the work?,"['practical demonstration', 'guided involvement', 'interactive session']","['construction site', 'performance review', 'theoretical workshop', 'passive observation']"
Where would you see some people doing jumping jacks?,"['fitness boot camp', 'team sports warm-up', 'outdoor exercise session']","['public transportation hub', 'formal business meeting', 'art gallery opening', 'quiet meditation space']"
"The body guard was good at his duties, he made the person who hired him what?","['feel secure', 'trust his skills', 'recognize dangers']","['save expenses', 'feel anxious', 'assume safety', 'distrust others']"
"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,","['self-doubt', 'anxiety about speaking', 'hesitation in conversations']","['improved vocabulary', 'clear communication', 'social acceptance', 'confidence boost']"
"Jim enjoyed killing people, but he did it too often and the cops found out. What might the cops do to him?","['arrest him', 'conduct investigation', 'collect incriminating evidence']","['release him quickly', 'provide him protection', 'offer plea bargain', 'ignore his actions']"
Where is there usually a fiddle playing?,"['traditional folk festival', 'live street performance', 'bluegrass band rehearsal']","['music store', 'dance hall', 'recording studio']"
What is the only way to recover from exhaustion?,"['take restorative breaks', 'consume balanced meals', 'engage in gentle movement']","['indulge in caffeine', 'watch calming videos', 'take long naps', 'attend energetic events']"
What would you do if you want to be able to earn money?,"['launch online store', 'offer consulting services', 'develop investment strategy']","['wait for opportunity', 'play chance games', 'join social media', 'rely on luck']"
What is a grumpy person likely to have?,"['unresolved conflicts', 'misinterpreted social cues', 'difficulty expressing feelings']","['positive affirmations', 'supportive friends', 'joyful memories', 'balanced diet']"
What do drugs do?,"['impair decision-making', 'alter emotional states', 'affect social behavior']","['enhance creativity', 'boost cognitive function', 'promote physical well-being', 'increase relaxation']"
A beaver can destroy a machine's functionality if they build their dam in this?,"['flooded area', 'water retention', 'natural basin']","['business district', 'fishing spot', 'recreational lake', 'urban creek']"
"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?","['forge preliminary consensus', 'navigate shared interests', 'establish cooperative terms']","['disregard previous agreements', 'create unnecessary tension', 'misinterpret key points', 'reach an impasse']"
Where could a fungus grow and not be disturbed by sunlight?,"['under rocks', 'in decaying wood', 'beneath dense foliage']","['urban alleyways', 'storage closets', 'inside basements', 'underneath bridges']"
Can you name a good reason for attending school?,"['enhance analytical skills', 'foster collaborative projects', 'experience diverse viewpoints']","['complete homework assignments', 'achieve social media fame', 'play sports without academics', 'avoid home responsibilities']"
What state south of Kentucky and north of Alabama will you find people playing the fiddle?,"['local bluegrass festivals', 'community jam sessions', 'traditional music workshops']","['music theory class', 'recording in studio', 'performing in symphony', 'practicing in isolation']"
"Though she made the cut years ago, its figurative scars would never what?","['fully vanish', 'truly disappear', 'completely fade']","['be ignored casually', 'be repaired superficially', 'be masked temporarily', 'be blended easily']"
What does sex often make happen in people?,"['enhance bonding', 'trigger hormones', 'increase intimacy']","['intense distraction', 'create misunderstandings', 'spark fleeting joy', 'induce temporary popularity']"
Where would you see people in uniform playing with a ball?,"['team sport practice', 'community sports outreach', 'charity sports match']","['school assembly event', 'sports equipment store', 'corporate training session', 'local park gathering']"
What kind of place could have a seafood restaurant?,"['coastal town', 'urban area with markets', 'tourist destination']","['river city', 'inland resort', 'fishing village', 'mountain retreat']"
Who was the head of the branch yelling at?,"['team member', 'project lead', 'direct report']","['senior advisor', 'external consultant', 'team leader', 'part-time intern']"
"He made another call, he did this all day hoping people would what well to his offer?","['evaluate thoughtfully', 'show genuine interest', 'consider the proposal']","['reply promptly', 'contact later', 'hang up immediately', 'dismiss casually']"
"She needs to visit a bookshop after buying the latest fashion, where should she look?","['fashion district with bookstores', 'trendy café with books', 'art gallery hosting literature']","['clothing outlet with no books', 'supermarket with limited titles', 'movie theater with no sales', 'gym with no retail space']"
Where could you see an advertisement while reading news?,"['news website', 'social media', 'mobile app']","['public transport', 'email inbox', 'local radio', 'shopping mall']"
What is required to be good at playing tennis?,"['consistent practice', 'strategic shot placement', 'mental resilience']","['tennis equipment', 'playing casually', 'focusing on power', 'training alone']"
What state is the John Davis Lodge toll road found in?,"['historical toll routes', 'modern infrastructure', 'regional travel efficiency']","['northern highways', 'eastern toll systems', 'urban transit networks', 'desert roadways']"
"The man went to clown college, he had always want to run away with the what?","['traveling circus', 'performance troupe', 'entertainment ensemble']","['parade float', 'local theater', 'magic show', 'community festival']"
"Jamie wanted to reduce her waist size, but all of her efforts failed miserably. She continued to do what?","['increase calorie intake', 'consume high-sugar foods', 'focus on muscle gain']","['exercise without diet', 'join weight loss groups', 'track daily calories', 'reduce portion sizes']"
James felt himself losing consciousness. He was frightened. He didn't want this. He was scared of what?,"['irreversible brain damage', 'loss of physical control', 'helplessness and vulnerability']","['temporary sleep state', 'sense of euphoria', 'slipping into oblivion', 'becoming a burden']"
"If someone is aloof and self-important, what is their experience when meeting people?","['feeling disconnected from conversations', ""dismissing others' opinions as irrelevant"", 'pretending to listen while planning an exit']","['finding common ground', 'engaging in deep discussions', 'smile during interactions', 'feeling overwhelmed by crowds']"
"He was receiving workman's compensation, he had tripped over a metal rod while building where?","['construction site', 'temporary scaffolding', 'roadway project']","['office renovation', 'industrial kitchen', 'subway station', 'urban plaza']"
John and James spent most of their time communicating with each other on their project. The time required to communicate slowed their what?,"['project advancement', 'collaborative efficiency', 'creative development']","['information exchange', 'team engagement', 'task completion', 'resource sharing']"
When you play around with your dog they will have?,"['increased energy', 'enhanced bonding', 'heightened excitement']","['temporary distraction', 'immediate fatigue', 'false security', 'reduced attention']"
Where would a person keep a book while it's being read?,"['on a coffee table for accessibility', 'in a designated reading nook', 'stacked with other current reads']","['in a filing cabinet for organization', 'inside a backpack for transport', 'underneath a couch for concealment', 'on a shelf for decoration']"
"The student needed to get some new pencils, where did he go?","['art supply store', 'local stationery shop', 'online marketplace']","[""teacher's desk"", 'study group', 'classroom shelf', 'home drawer']"
"She loved buying products, she was driven by her what to shop more than any practical needs?","['desire', 'emotional fulfillment', 'sense of identity']","['financial resources', 'time constraints', 'social expectations', 'brand recognition']"
How does getting paid feel?,"['sense of achievement', 'financial empowerment', 'boosted work enthusiasm']","['unexpected expenses', 'temporary relief', 'unsettled financial future', 'disappointment from budget limits']"
"The fat man refused to accept what was possible, he complained that he what the simplest activities?","['struggles with tasks', 'finds actions challenging', 'has difficulty engaging']","['declines to try', 'is unwilling to act', 'avoids all effort', 'is resistant to change']"
Where can meat last a long time?,"['frozen storage', 'vacuum preservation', 'canned technique']","['grocery aisle', 'picnic basket', 'smoked deli', 'room pantry']"
What group of musicians will include someone playing the cello?,"['orchestral collaboration', 'string ensemble performance', 'concert series group']","['rock band', 'vocal ensemble', 'music festival', 'jazz combo']"
Where do bees congregate with red flowerS?,"['pollinator-friendly garden', 'nectar-rich flowering shrub', 'botanical garden with diversity']","['flower shop display', 'indoor floral arrangement', 'vegetable patch', 'landscaped yard']"
What is someone who gets angry after getting drunk likely to participate in?,"['escalating disputes', 'hostile confrontations', 'reckless driving']","['quiet contemplation', 'attending ceremonies', 'casual gatherings', 'team-building exercises']"
"The teacher told all the students that listening was key, it was the main way they would gain what?","['perspective', 'analytical skills', 'deeper understanding']","['social pleasantries', 'emotional responses', 'random facts', 'distraction techniques']"
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,"['current experiences', 'unresolved emotions', 'past traumas']","['daytime thoughts', 'brief distractions', 'imaginary fears', 'common dreams']"
The city's community garden was demolished for yet another what?,"['commercial complex', 'luxury housing', 'transportation hub']","['temporary festival', 'urban art space', 'community playground', 'seasonal market']"
What do cats get into when they are ripping things apart?,"['chaos of debris', 'frenzy of fragments', 'mess of scraps']","['untouched items', 'clean surfaces', 'organized spaces', 'displaced belongings']"
What is a good result of losing weight?,"['enhanced endurance', 'better metabolic balance', 'lower disease susceptibility']","['elevated energy levels', 'temporary appearance change', 'increased body discomfort', 'sudden weight gain']"
A person lived in my what?,"['converted garage', 'temporary shelter', 'mobile unit']","['office space', 'communal hall', 'exhibition area', 'public pavilion']"
"The skin was cut while chopping onions, where was this skin likely cut?","['finger during grip', 'hand while handling', 'thumb stabilizing onion']","['cutting surface during prep', 'onion skin while peeling', 'vegetable peeler during use', 'kitchen counter while slicing']"
What might you feel after doing housework for hours?,"['accomplishment from order', 'relief in tidiness', 'fatigue from effort']","['anxiety from chaos', 'euphoria from leisure', 'contentment in distraction', 'disappointment from neglect']"
"The accountant used a calculator regularly, he kept one at home and one at the what?","['office workspace', 'collaboration area', 'remote access tool']","['personal vehicle', 'public library', 'local cafe', 'home office']"
At the end of your meal what will a waiter do?,"['process payment', 'confirm satisfaction', 'clear used dishes']","['serve next course', 'discuss future specials', 'provide drink refills', 'hand out menus']"
"If you aren't glad, unhappy or gloomy, what illness may you have?","['chronic fatigue syndrome', 'major depressive episode', 'persistent anxiety disorder']","['temporary sadness', 'work-related stress', 'mild frustration', 'general discontent']"
You can hear testimony of how spirituality changes lives when you do what?,"['participate in retreats', 'attend workshops', 'join discussion groups']","['watch reality shows', 'visit health spas', 'read fictional novels', 'attend motivational speeches']"
"It was a great rest, she had never felt this much what in the morning?","['mental clarity', 'emotional stability', 'physical vitality']","['temporary energy', 'mild enthusiasm', 'brief alertness', 'superficial contentment']"
Which region has the most famous temple?,"['sacred pilgrimage sites', 'ancient spiritual regions', 'cultural heritage areas']","['temporary worship venues', 'modern religious structures', 'urban community centers', 'historic secular landmarks']"
Where would you find a bee gathering pollen?,"['nectar-rich garden', 'flowering shrub area', 'wildflower meadow']","['industrial zone', 'urban rooftop', 'shopping mall', 'deserted lot']"
Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,"['in a closet', 'under the bed', 'in a utility room']","['in a public park', 'on the balcony', 'in a locked shed', ""in a neighbor's yard""]"
"If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?","['dissolving marital union', 'terminating legal partnership', 'annulling matrimonial bond']","['engagement status', 'shared financial responsibility', 'temporary separation', 'mutual friendship']"
How do geese normally get from place to place?,"['migrate in flocks', 'navigate using solar patterns', 'utilize thermal updrafts']","['hitch rides on boats', 'rely on wind alone', 'follow ultralight aircraft', 'wait for seasonal changes']"
John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,"['grip strength', 'manual dexterity', 'hand coordination']","['emotional stability', 'persistence in effort', 'overall strength', 'punching technique']"
"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?","['sunlit room', 'interactive space', 'playful nook']","['crowded hallway', 'small closet', 'overstuffed sofa', 'busy kitchen']"
What leads to someone's death when they are very depressed?,"['self-harm injuries', 'neglected health complications', 'extreme risk behaviors']","['substance overdose', 'chronic stress effects', 'emotional distress', 'social isolation']"
"She was sick and staying in bed the day of the event, unfortunately this meant she was what?","['missing celebrations', 'lacking social connection', 'deprived of joy']","['enjoying comfort', 'gaining rest', 'recovering strength', 'finding peace']"
Where would a lizard surprise a person?,"['under leaves', 'beneath rocks', 'near water']","['deserted highways', 'frozen landscapes', 'indoor events', 'busy intersections']"
"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?","[""friend's house"", 'tailgate party', 'local sports bar']","['office breakroom', 'public park picnic', 'sports equipment store', 'community gym event']"
Who is likely to have a caring heart?,"['individual who volunteers', 'someone who listens actively', 'person engaging in support']","['individual focused on profit', 'person avoiding social contact', 'entity prioritizing self-interest', 'someone following trends superficially']"
"I'm looking for alcohol and fried foods, any suggestions?","['gastropub with beer', 'food festival with drinks', 'brewery with appetizers']","['family restaurant with kids', 'catering service for events', 'wine tasting at vineyard', 'coffee shop with brunch']"
"If I had a jar which was likely to spoil if left out, where would I want to put it?","['chilled storage unit', 'vacuum-sealed container', 'insulated transport bag']","['kitchen counter', 'dry pantry shelf', 'garage storage', 'sunny windowsill']"
Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,"['fine dining in europe', 'culinary exploration abroad', 'savoring international cuisine']","['fishing expedition abroad', 'grocery shopping for seafood', 'sushi preparation class', 'coastal seafood festival']"
What will happen to skin pinched in something?,"['feel localized pressure', 'trigger withdrawal reflex', 'develop temporary redness']","['feel numbness', 'experience immediate swelling', 'develop permanent marks', 'trigger muscle contractions']"
"Sally lost her kite because she wasn't careful. She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.","['end of line', 'maximum extension', 'last grip']","['kite festival', 'playground area', 'windy conditions', 'distraction moment']"
"The man uses grooming before a job interview, what is he trying to portray?","['professional appearance', 'consideration for opportunity', 'self-assured demeanor']","['personal aesthetics', 'casual impression', 'overconfidence in looks', 'distraction from skills']"
Where would there be many people sitting in chair and listening to religious speech?,"['spiritual retreat', 'faith-based conference', 'community worship space']","['public assembly', 'waiting room', 'educational seminar', 'social gathering']"
Where is a tabby cat likely to be happiest?,"['comfortable lap', 'sunny windowsill', 'cozy blanket']","['busy street', 'noisy kitchen', 'dark basement', 'crowded cafe']"
East coast areas such as Florida are found where?,"['coastal tourism hubs', 'regions with humid climates', 'states with Atlantic access']","['southern states', 'tropical resorts', 'beachfront properties', 'urban centers']"
"To learn must have the right book, to work efficiently what must one have?","['utilize proper tools', 'establish structured tasks', 'create distraction-free zone']","['increase knowledge base', 'develop persistence habits', 'embrace chaotic schedules', 'rely on past successes']"
What is a mobile launching platform found in the ocean?,"['sea-based missile platform', 'floating launch system', 'mobile sea base']","['coastal observation tower', 'submarine repair dock', 'land-based rocket site', 'airborne drone carrier']"
There weren't potatoes but actually a snake in his what?,"['burlap sack', 'canvas bag', 'travel backpack']","['fishing net', 'pet shops', 'outdoor market', 'garden shed']"
What could listening to music cause you to be?,"['focused on tasks', 'motivated for creativity', 'energized for activities']","['happy without context', 'distracted from priorities', 'overwhelmed by feelings', 'anxious about choices']"
"If you want to make a big splash in a river with a rock, from where should you throw it?","['high cliff', 'moving boat', 'dock at low tide']","['riverbank at high tide', 'flat field nearby', 'top of a hill', 'pier with no access']"
What is committing perjury likely to lead to?,"['criminal charges', 'legal consequences', 'professional sanctions']","['public shame', 'temporary embarrassment', 'community criticism', 'family discord']"
"The new play was the go to performance of the year, all the crowds would stand and what?","['cheer loudly', 'wave enthusiastically', 'chant together']","['reflect quietly', 'text during show', 'leave in silence', 'discuss after']"
"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples."" What is this an example of?","['quantitative analysis', 'numerical reasoning task', 'basic arithmetic challenge']","['orchard management', 'fruit preservation techniques', 'seasonal fruit growth', 'agricultural statistics']"
Where are people likely to find food?,"['food festival', 'local market', 'catering service']","['art exhibit', 'office meeting', 'music venue', 'sports complex']"
What might a kid do with his friend before going to play?,"['discuss game plans', 'check play gear', 'share favorite snacks']","['watch cartoons', 'organize toys', 'text parents', 'study homework']"
What is a person who is well educated?,"['demonstrates critical thinking', 'engages in lifelong learning', 'communicates ideas effectively']","['possesses a degree without skills', 'recites information without understanding', 'follows trends blindly', 'depends solely on technology for answers']"
"Ben was an alcoholic and was in an accident. Because of his mistake, he spent 8 years somewhere. Where was he?","['rehabilitation center', 'community service program', 'long-term sober living']","['detox clinic', 'shelter program', 'temporary housing', 'social service office']"
Where do you buy tickets at a ticket booth for games/,"['event stadium', 'sports venue entrance', 'concert hall box office']","['train platform', 'community gathering', 'shopping center', 'art festival']"
A soccer field that is not contained in a building would be where?,"['open recreational space', 'designated sports complex', 'community athletic field']","['crowded festival grounds', 'temporary event site', 'local sports club', 'public parking area']"
Letters are sometimes delivered by hand through one of these.,"['personal courier', 'designated drop', 'direct handoff']","['community mailbox', 'office reception', 'postal service', 'delivery vehicle']"
John came to see Sam and Sam kicked him out. Sam didn't like company. He preferred what?,"['personal space', 'quiet time', 'individual pursuits']","['public events', 'group projects', 'team activities', 'friendly gatherings']"
"If somebody likes temperatures cool, they might have more than one electric fan where?","['personal workspace', 'shared living space', 'seasonal vacation rental']","['crowded event space', 'climate-controlled cellar', 'busy office area', 'temporary storage unit']"
"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?","['experiencing air turbulence', 'struggling to control descent', 'adjusting body orientation']","['feeling weightlessness', 'losing grip on harness', 'counting down seconds', 'trying to relax muscles']"
"The president had to make a decision regarding the hate attack on his country, what did he do?","['forge diplomatic alliances', 'enhance intelligence operations', 'mobilize community outreach']","['issue a statement', 'launch a military exercise', 'restrict immigration policies', 'call for national protests']"
What's it called when you have seen something through an eyepiece?,"['detailed inspection', 'focused examination', 'magnified observation']","['light refraction', 'visual distortion', 'image projection', 'lens calibration']"
"He had done a great job with the scary decorations, they were completely what?","['masterfully unsettling', 'eerily immersive', 'expertly crafted nightmares']","['slightly amusing', 'moderately spooky', 'visibly bland', 'somewhat cheerful']"
"If you did well on the test, you might get an A as a what?","['academic accolade', 'scholarship consideration', 'classroom esteem']","['study material', 'assessment method', 'group project', 'homework schedule']"
If you tell your boss you're suffering from boredom they'll likely tell you to get back to what?,"['focus on tasks', 'engage with colleagues', 'prioritize ongoing projects']","['daydreaming', 'unrelated meetings', 'personal interests', 'casual browsing']"
What is a good result of jogging?,"['enhanced endurance', 'reduced anxiety levels', 'improved metabolic function']","['increased fatigue levels', 'temporary weight gain', 'muscle soreness aftermath', 'short-term energy spikes']"
What is done to wood to attach something to it?,"['secured', 'fastened', 'bonded']","['furnished', 'decorated', 'reinforced', 'treated']"
Where is a fox likely to be caught?,"['baited trap near den', 'thicket during hunt', 'riverbank at dusk']","['urban gardens', 'city parks', 'highway rest stop', 'abandoned warehouses']"
Where do you put a new dining table?,"['designated dining space', 'temporary storage area', 'converted garage gatherings']","['office break room', 'guest bedroom use', 'living room seating', 'unused basement clutter']"
"Sometimes fighting inflation isn't even what, because it is so negligible?","['not impactful on spending', 'not significant enough for policy', 'not worth effort for change']","['temporary price spikes', 'spending behavior shifts', 'inflation control measures', 'market response fluctuations']"
What is likely to have more than one level in a city?,"['multi-story garage', 'elevated transit station', 'office complex floors']","['single-story shop', 'temporary venue', 'local park', 'small library']"
Where is likely to have a lot of fire extinguishers?,"['commercial kitchen', 'manufacturing facility', 'data center']","['office building', 'restaurant', 'park facilities', 'residential area']"
Where would someone learn to play an upright piano?,"['music class', 'private lessons', 'community workshop']","['music store', 'self-study books', 'watching concerts', 'participating in band']"
What is necessary for learning by yourself?,"['self-assessment', 'resource evaluation', 'knowledge integration']","['group discussions', 'internet browsing', 'passive watching', 'casual networking']"
"John and Jane were a couple. They were dating for a while and wanted to be together for even longer. For this reason, they did what?","['discuss future aspirations', 'explore shared life goals', 'create joint financial plans']","['attend social events', 'plan weekend outings', 'organize group activities', 'share personal stories']"
What emotion does getting paid lead to?,"['renewed ambition', 'financial stability', 'positive self-regard']","['stressful budgeting', 'temporary relief', 'disappointment in wages', 'unfulfilled expectations']"
Who is likely going in to a market?,"['to buy fresh produce', 'to seek local goods', 'to gather ingredients for a recipe']","['to enjoy a picnic', 'to shop for clothes', 'to attend a workshop', 'to visit a friend']"
What is a characteristic of thin glass?,"['break easily', 'fracture under impact', 'lose integrity when bent']","['shatter into pieces', 'maintain clarity under pressure', 'resist breakage from drops', 'function as sound insulator']"
