question,expanded_correct_options,expanded_incorrect_options
What could happen to a paper if you leave it outside even if it does not move?,"['saturated with water', 'discoloration from UV exposure', 'accumulation of dirt and debris', 'absorption of moisture from humidity', 'weakened fibers from prolonged exposure', 'chemical degradation from pollutants']","['one material often recycled', 'ripped', 'one dimensional', 'crumpled', 'remains unchanged in structure', 'absorbs sunlight without effect', 'becomes more rigid over time', 'increases in weight from air exposure', 'maintains original color indefinitely', 'becomes waterproof from outdoor conditions']"
"Mark's semen was very thick, but after his vasectomy it was also what?","['clear', 'fluid', 'less viscous', 'more transparent', 'easier to expel', 'diluted in consistency']","['blank', 'sparse', 'thin', 'free flowing', 'gel-like consistency', 'visibly cloudy', 'sticky texture', 'increased viscosity', 'unaffected by the procedure', 'more concentrated']"
What is a great place to lay in the sun?,"['beach', 'rooftop terrace', 'sunbathing deck', 'outdoor patio', 'garden hammock', 'lawn chair in backyard']","['in the basement', 'west', 'solar system', 'beans', 'cloudy hillside', 'shaded forest floor', 'indoor swimming pool', 'under a thick tree canopy', 'in a dark alley', 'inside a car with closed windows']"
Where would you find a seafood restaurant in the east coast of North America?,"['maine', 'new jersey shore', 'harbor town with fishing docks', 'town hosting annual seafood festival', 'city known for local oyster farms', 'fishing village with daily catch markets']","['boston', 'beach town', 'coastal cities', 'ocean', 'city with inland lakes', 'town famous for barbecue', 'metropolitan area with no coastline', 'island with no fishing activity', 'city with seasonal fish markets', 'town known for dessert cuisine']"
The president is the leader of what institution?,"['government', 'newly elected administration', 'executive branch of government', 'national policy-making body', 'federal executive authority', 'chief decision-making entity']","['walmart', 'white house', 'country', 'corporation', 'nonprofit organization', 'local community council', 'international trade association', 'regional governance body', 'political action committee', 'state legislative assembly']"
Sitting too close while watching TV can cause what sort of pain?,"['headache', 'eye strain from prolonged focus', 'neck discomfort from poor posture', 'shoulder tension from leaning forward', 'visual fatigue from excessive screen brightness', 'migraine triggered by screen flicker']","['brain problems', 'laziness', 'get fat', 'laughter', 'temporary blindness from glare', 'muscle growth from tension', 'improved concentration from focus', 'joint flexibility from stretching', 'enhanced creativity from distraction', 'heightened energy from excitement']"
Where is a bald eagle safe?,"['wildlife refuge', 'nesting area with limited human access', 'protected coastal habitat with ample food supply', 'designated conservation zone with regulated activities', 'remote mountainous region with minimal disturbance', 'sanctuary with ongoing species protection programs']","['pine tree', 'open country', 'in washington', 'urban park with frequent visitors', 'agricultural fields during harvest season', 'near a busy highway with traffic noise', 'mountain trail popular with hikers', 'riverbank with recreational fishing activity', 'lakefront with boating and jet ski rentals', 'forest area with logging operations']"
"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?","['paying', 'spending', 'investing in upgrades', 'buying additional content', 'subscribing for premium features', 'funding in-game enhancements']","['costly', 'captive', 'contained', 'caught', 'donating for charity', 'purchasing physical items', 'upgrading hardware', 'participating in surveys', 'trading in-game items', 'gifting to friends']"
What kind of driving leads to accidents?,"['dangerous', 'new correct option 1: aggressive lane changes', 'new correct option 2: excessive speed relative to conditions', 'new correct option 3: distracted driving with mobile devices', 'new correct option 4: impaired judgment from fatigue', 'new correct option 5: failure to yield at intersections']","['stressful', 'fun', 'illegal', 'deadly', 'plausible wrong option: cautious driving under poor visibility', 'contextual wrong option: driving with passengers present', 'mechanism failure option: driving with music playing', 'obvious wrong option: driving while sleeping', 'plausible wrong option: maintaining a steady speed', 'contextual wrong option: using GPS for navigation']"
What is eating too much dinner likely to result in?,"['stomach ache', 'new correct option 1: increased gastrointestinal pressure leading to discomfort', 'new correct option 2: disrupted sleep patterns from late digestion', 'new correct option 3: elevated blood sugar levels affecting energy regulation', 'new correct option 4: potential weight gain from excess calorie intake']","['tiredness', 'living longer', 'illness', 'acid reflux', 'plausible wrong option: enhanced metabolism from larger meals', 'contextual wrong option: reduced appetite for breakfast the next day', 'mechanism failure option: improved mood from satisfying a craving', 'obvious wrong option: instant energy boost from overeating', 'plausible wrong option: increased hydration from consuming liquids with dinner', 'contextual wrong option: better nutrient absorption from larger meal size']"
What is a person chatting with friends likely hoping to accomplish?,"['social bonding', 'new perspective sharing', 'emotional support seeking', 'conflict resolution through dialogue', 'relationship maintenance via interaction', 'collective problem-solving engagement']","['gathering of information', 'communication', 'feel relaxed', 'kill boredom', 'passing time without engagement', 'strategizing for future plans', 'clarifying misunderstandings superficially', 'entertaining oneself with anecdotes', 'reinforcing existing biases', 'solving complex issues with simple chat']"
"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?","['street', 'beach', 'gravel path', 'blacktop playground', 'sunlit deck', 'desert trail']","['disneyland', 'snow', 'windowsill', 'summer', 'indoor mall', 'shaded garden', 'winter cabin', 'cloudy park', 'marble floor', 'frozen lake']"
"A fox was thirsty searching for water during the drought, where was he?","['california', 'desert oasis', 'dry riverbed after rain', 'abandoned farm with water trough', 'mountain stream during summer', 'remote forest with hidden springs']","['painting', 'hen house', 'virginia', 'movie hall', 'frozen lake in winter', 'busy city intersection', 'crowded beach during heatwave', 'underground cave with no access', 'abandoned warehouse in urban area', 'flooded area with no vegetation']"
What might be the result of a season of successful skiing?,"['healthy body', 'increased endurance', 'enhanced coordination skills', 'strengthened lower body muscles', 'improved cardiovascular fitness', 'boosted mental resilience']","['finish line', 'broken bones', 'broken legs', 'chapped lips', 'exhaustion from overexertion', 'immediate weight gain', 'temporary muscle soreness', 'increased risk of injury', 'decreased flexibility', 'overheating during runs']"
"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?","['proximity', 'new correct option 1: distance-triggered', 'new correct option 2: motion-activated', 'new correct option 3: infrared detection', 'new correct option 4: ultrasonic rangefinder']","['near', 'closeness', 'here', 'this', 'plausible wrong option: surface-level tracker', 'contextual wrong option: height sensor', 'mechanism failure option: temperature gauge', 'obvious wrong option: sound detector', 'plausible wrong option: light sensor', 'contextual wrong option: vibration monitor']"
"The man was eating lunch, but rushed when he looked at his watch, why did he rush?","['late for work', 'needed to prepare for a meeting', 'had an appointment to attend soon', 'was meeting someone for an important discussion', 'wanted to catch the bus before it left', 'realized he hadn’t finished his report on time']","['gain weight', 'heartburn', 'bad breath', 'early for work', 'thought he misplaced his wallet', 'believed he left the stove on', 'felt pressure to eat faster for health', 'was distracted by a loud noise outside', 'assumed he had forgotten something important', 'planned to buy groceries after lunch']"
"The evacuation became mandatory, so what came on the TV?","['advisory', 'emergency bulletin', 'safety instructions', 'evacuation protocol update', 'public safety announcement', 'hazard assessment report']","['mandate', 'soap opera', 'elective', 'optional', 'routine programming', 'entertainment segment', 'community event coverage', 'celebrity interview', 'sports highlights', 'weather forecast']"
The person gave a good hands on what to show how to do the work?,"['demonstration', 'guided practice', 'step-by-step walkthrough', 'interactive tutorial', 'real-time feedback session', 'hands-on training exercise']","['garage', 'building', 'barn', 'synagogue', 'visual inspection method', 'theoretical analysis approach', 'standardized testing procedure', 'remote observation technique', 'passive learning strategy', 'group discussion format']"
Where would you see some people doing jumping jacks?,"['military base', 'fitness boot camp', 'outdoor group exercise session', 'team sports warm-up area', 'school physical education class', 'community health fair demonstration']","['opera', 'water fountain', 'bus stop', 'church', 'corporate office meeting room', 'quiet library study area', 'high-end restaurant dining room', 'public transportation subway car', 'art gallery exhibition space', 'formal wedding reception venue']"
"The body guard was good at his duties, he made the person who hired him what?","['feel safe', 'trust his judgment', 'remain calm under pressure', 'perceive potential threats', 'make informed decisions quickly', 'experience a sense of security']","['better job', 'irritated', 'save money', 'headache', 'overlook risks', 'distrust others', 'assume all threats are eliminated', 'feel overwhelmed by danger', 'believe in false security', 'ignore personal safety']"
"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,","['frustration', 'increased self-doubt', 'heightened anxiety about speaking', 'reduced willingness to engage', 'hesitation in future conversations', 'diminished confidence in abilities']","['better communication', 'overthinking', 'misunderstandings', 'headaches', 'immediate clarity in expression', 'enhanced social connections', 'universal understanding of context', 'increased assertiveness in dialogue', 'improved cognitive flexibility', 'accelerated learning of vocabulary']"
"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?","['get arrested', 'initiate a criminal investigation', 'gather evidence for prosecution', 'execute a search warrant on his property', 'interrogate his associates for information', 'track his movements using surveillance']","['going to jail', 'going to prison', 'beat him up', 'die', 'release him due to lack of evidence', 'offer him a deal to inform on others', 'ignore the case due to resource constraints', 'allow him to flee the country', 'dismiss the charges as a misunderstanding', 'provide him with legal counsel for free']"
Where is there usually a fiddle playing?,"['orchestra', 'symphony', 'traditional folk festival', 'live street performance', 'jazz ensemble session', 'bluegrass band rehearsal']","['music store', 'dance hall', 'tennessee', 'recording studio session', 'theater production rehearsal', 'outdoor picnic gathering', 'classroom music lesson', 'nightclub DJ event', 'school assembly performance', 'art gallery exhibition']"
What is the only way to recover from exhaustion?,"['have rest', 'replenish nutrients', 'engage in light stretching', 'practice mindfulness techniques', 'hydrate thoroughly', 'take short breaks regularly']","['mediate', 'stay in bed', 'run out of steam', 'go to sleep', 'consume high-sugar snacks', 'perform intense workouts', 'engage in excessive socializing', 'watch stimulating media', 'over-schedule activities', 'ignore physical signals']"
What would you do if you want to be able to earn money?,"['apply for job', 'sell products online', 'start a freelance service', 'invest in stock market', 'create a budget and save', 'develop a mobile app']","['stand in line', 'take care of proposals', 'pass course', 'play the lottery', 'wait for inheritance', 'ask for a raise without evidence', 'rely on social media popularity', 'donate time to charity', 'enter a contest with no entry fee', 'apply for a job without a resume']"
What is a grumpy person likely to have?,"['headache', 'new correct option 1: unresolved conflicts with others', 'new correct option 2: a tendency to misinterpret social cues', 'new correct option 3: difficulty in expressing their feelings', 'new correct option 4: chronic fatigue from poor sleep habits', 'new correct option 5: a habit of focusing on negative experiences']","['understand themselves', 'compliments', 'own house', 'happiness', 'plausible wrong option: a collection of positive affirmations', 'contextual wrong option: a strong support network of friends', 'mechanism failure option: frequent engagement in uplifting activities', 'obvious wrong option: an abundance of joyful memories', 'plausible wrong option: a well-balanced diet with regular meals', 'contextual wrong option: a clear vision of their future goals']"
What do drugs do?,"['cause accidents', 'new drugs impair motor skills leading to risky behavior', 'alter neurotransmitter levels resulting in mood swings', 'disrupt normal brain function causing impulsive decisions', 'interfere with cognitive processes leading to poor judgment', 'induce dependency which affects personal relationships']","['damage', 'cloud mind', 'lower i.q', 'cause illness', 'enhance memory retention in all users', 'promote physical health in moderate doses', 'stimulate creativity without side effects', 'increase focus universally across all tasks', 'boost energy levels without any risks', 'improve social interactions for everyone']"
A beaver can destroy a machine's functionality if they build their dam in this?,"['millpond', 'reservoir', 'wetland area', 'floodplain zone', 'artificial lake', 'irrigation channel']","['strip club', 'pocket', 'ontario', 'lake or river', 'construction site', 'swimming pool', 'highway median', 'industrial park', 'urban neighborhood', 'desert oasis']"
"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?","['reach tentative agreement', 'negotiate mutual concessions', 'clarify misunderstandings effectively', 'identify common ground strategically', 'develop a collaborative plan']","['suicide', 'examine thing', 'commit murder', 'stay in bed', ""misinterpret each other's views"", 'create additional conflicts', 'reach a stalemate', 'disregard previous discussions', 'overlook important details', 'escalate emotional tensions']"
Where could a fungus grow and not be disturbed by sunlight?,"['under rocks', 'in decaying wood', 'beneath thick leaf litter', 'inside damp soil crevices', 'within dark cave systems', 'in the shade of dense foliage']","['manhattan', 'toenails', 'grocery store', 'fallen tree', 'inside a glass jar', 'on a sunlit windowsill', 'in a brightly lit kitchen', 'on a rooftop garden', 'in a well-lit basement', 'underneath an open sky']"
Can you name a good reason for attending school?,"['get smart', 'develop critical thinking skills', 'build social networks for future collaboration', 'learn to solve complex problems through teamwork', 'cultivate discipline through structured routines', 'gain exposure to diverse perspectives and ideas']","['boredom', 'colds and flu', 'taking tests', 'spend time', 'improve athletic performance without academic focus', 'develop popularity based on social media presence', 'memorize facts for future trivia competitions', 'avoid parental supervision at home', 'experience minimal interaction with peers', 'focus solely on personal hobbies without academic engagement']"
What state south of Kentucky and north of Alabama will you find people playing the fiddle?,"['tennessee', 'participating in local bluegrass festivals', 'attending community jam sessions weekly', 'joining regional folk music gatherings', 'taking part in traditional music workshops', 'visiting historic music venues regularly']","['alabama', 'violin case', 'music store', 'bow and strings', 'playing classical music in a studio', 'hosting a music theory class', 'performing in a symphony orchestra', 'practicing solo in a quiet room', 'teaching music lessons online', 'recording an album in a different state']"
"Though she made the cut years ago, its figurative scars would never what?","['heal', 'mend', 'fade with time', 'be truly forgotten', 'be fully concealed', 'be completely erased']","['joining', 'put together', 'stitch', 'paste', 'mask temporarily', 'appear superficially', 'be overlooked casually', 'blend seamlessly', 'be dismissed lightly', 'fade momentarily']"
What does sex often make happen in people?,"['feel good', 'new correct option 1: enhance emotional bonding', 'new correct option 2: trigger hormonal changes', 'new correct option 3: increase intimacy levels', 'new correct option 4: foster vulnerability expression', 'new correct option 5: stimulate physical pleasure responses']","['making love', 'happyness', 'wonderful thing', 'cloud judgment', 'plausible wrong option: create lasting resentment', 'contextual wrong option: lead to immediate regret', 'mechanism failure option: cause instant enlightenment', 'obvious wrong option: guarantee lifelong commitment', 'plausible wrong option: induce spontaneous laughter', 'contextual wrong option: promote instant popularity']"
Where would you see people in uniform playing with a ball?,"['sporting event', 'new correct option 1: practice session for a team sport', 'new correct option 2: community outreach event involving sports', 'new correct option 3: charity match organized by a local league', 'new correct option 4: military training exercise incorporating ball games', 'new correct option 5: school sports day featuring uniformed participants']","['hole', 'television', 'sporting goods store', 'pool table', 'plausible wrong option: recreational game at a community center', 'contextual wrong option: professional coaching seminar on sports tactics', 'mechanism failure option: sports therapy session with physical trainers', 'obvious wrong option: indoor trampoline park with uniformed staff', 'plausible wrong option: team-building retreat with outdoor activities', 'contextual wrong option: charity fundraiser featuring various games']"
What kind of place could have a seafood restaurant?,"['city', 'coastal town', 'fishing port with active docks', 'tourist destination with culinary diversity', 'urban area with vibrant food markets', 'resort with beachfront dining experiences']","['new york', 'coastal cities', 'boston', 'inland town with no water access', 'desert region with limited food supply', 'mountain village with no seafood sources', 'suburban area with no dining establishments', 'historical site focused on land-based cuisine', 'agricultural community with no seafood culture', 'industrial zone lacking food services']"
Who was the head of the branch yelling at?,"['subordinate', 'team member', 'junior staffer', 'direct report', 'project lead', 'task coordinator']","['owner', 'foot', 'base', 'point', 'team leader', 'senior advisor', 'external consultant', 'part-time intern', 'strategic partner', 'project sponsor']"
"He made another call, he did this all day hoping people would what well to his offer?","['respond', 'follow up', 'consider seriously', 'evaluate thoroughly', 'express interest', 'engage positively']","['hang up', 'contact', 'answer', 'attracting ducks', 'ignore completely', 'dismiss outright', 'reply vaguely', 'confuse the message', 'wait indefinitely', 'reject hastily']"
"She needs to visit a bookshop after buying the latest fashion, where should she look?","['mall', 'shopping district', 'fashion boutique with literature section', 'online marketplace with local pickup', 'trendy café with a book corner', 'art gallery hosting a book fair']","['student union', 'department store', 'library', 'town or city', 'clothing outlet with no reading materials', 'supermarket with limited book selection', 'outdoor market with no book vendors', 'movie theater with no book sales', 'gym with no retail options', 'fast food restaurant with no reading area']"
Where could you see an advertisement while reading news?,"['web page', 'social media feed', 'mobile application notification', 'news aggregator platform', 'digital magazine interface', 'online video streaming service']","['television', 'bus', 'email', 'la ville', 'printed newspaper insert', 'radio broadcast segment', 'outdoor billboard', 'grocery store checkout stand', 'podcast advertising slot', 'live event sponsorship']"
What is required to be good at playing tennis?,"['skill', 'practice consistency', 'strategic shot placement', 'mental resilience during matches', 'effective footwork patterns', 'adaptive game tactics']","['tennis racket', 'competition', 'tennis court', 'legs', 'excessive power hitting', 'relying solely on luck', 'perfect weather conditions', 'playing without a coach', 'focusing only on serves', 'using outdated techniques']"
